STATUS PROCESSO;CÓDIGO;DESCRIÇÃO;QUANTIDADE;NIVEL_URGENCIA;FAMILIA;PO# REF;FORNECEDOR;PREV. CHEGADA CD;DATA REAL CHEGADA CD;PREV. ATRACAÇÃO;DATA REAL ATRACAÇÃO ;QTDE 40';QTDE 20';SEMANA;PARES;TOP FAMILIA;ESTOQUE;BACKORDER;MÉDIA;COBERTURA CHEGANDO;COBERTURA HOJE;COBERTURA TOTAL
EMBARCADO;87003;LANCETA SEGURANCA 21G 1.8MM C/100 LABOR;600;PRIORIDADE;LANCETA CONVENCIONAL ESTERL-TI;25.01-TIANDA;TIANDA;06/05/2026;(vazio);15/04/2026;(vazio);3;1;5º;#REF!;#REF!;0;0;#REF!;#REF!;#REF!;#REF!
EMBARCADO;87006;LANCETA CONVENCIONAL C/200 LABOR;1.000,00;CRÍTICO;LANCETA CONVENCIONAL ESTERL-TI;25.01-TIANDA;TIANDA;06/05/2026;(vazio);15/04/2026;(vazio);3;1;5º;#REF!;#REF!;11;0;#REF!;#REF!;#REF!;#REF!
EMBARCADO;3911;LAMINA FOSCA 26X76MM C/50 (YA);22.000,00;PRIORIDADE;LAMINAS;25.03-TIANDI;TIANDI;06/05/2026;(vazio);15/04/2026;(vazio);3;1;5º;#REF!;#REF!;0;0;#REF!;#REF!;#REF!;#REF!
EMBARCADO;3912;LAMINA LISA 26X76MM C/50 (YA);4.000,00;ESTÁVEL;LAMINAS;25.03-TIANDI;TIANDI;06/05/2026;(vazio);15/04/2026;(vazio);3;1;5º;#REF!;#REF!;0;0;#REF!;#REF!;#REF!;#REF!
EMBARCADO;3926;LAMINULA 22X22 C/1000 (YA);600;PRIORIDADE;LAMINULAS;25.03-TIANDI;TIANDI;06/05/2026;(vazio);15/04/2026;(vazio);3;1;5º;#REF!;#REF!;0;0;#REF!;#REF!;#REF!;#REF!
EMBARCADO;3929;LAMINULA 20X20 C/ 1000 (YA);150;ESTÁVEL;LAMINULAS;25.03-TIANDI;TIANDI;06/05/2026;(vazio);15/04/2026;(vazio);3;1;5º;#REF!;#REF!;0;0;#REF!;#REF!;#REF!;#REF!
EMBARCADO;3930;LAMINULA 24X24 C/ 1000 (YA);500;ESTÁVEL;LAMINULAS;25.03-TIANDI;TIANDI;06/05/2026;(vazio);15/04/2026;(vazio);3;1;5º;#REF!;#REF!;912;0;#REF!;#REF!;#REF!;#REF!
EMBARCADO;3933;LAMINULA 24X60 C/ 1000 (YA);100;ESTÁVEL;LAMINULAS;25.03-TIANDI;TIANDI;06/05/2026;(vazio);15/04/2026;(vazio);3;1;5º;#REF!;#REF!;175;0;#REF!;#REF!;#REF!;#REF!
EMBARCADO;3801;ESCOVA CERVICAL C/100 (SW);2.000,00;CRÍTICO;ESCOVAS;25.05-WEIGAO;WEIGAO;06/05/2026;(vazio);15/04/2026;(vazio);3;1;5º;#REF!;#REF!;723;0;#REF!;#REF!;#REF!;#REF!
EMBARCADO;3802;ESCOVA CERVICAL ESTERIL C/100 (SW);3.500,00;CRÍTICO;ESCOVAS;25.05-WEIGAO;WEIGAO;06/05/2026;(vazio);15/04/2026;(vazio);3;1;5º;#REF!;#REF!;45;0;#REF!;#REF!;#REF!;#REF!
EMBARCADO;5019;ADAPTADOR P/ AGULHA A VACUO PADRAO (SW);90.000,00;CRÍTICO;ADAPTADORES PARA TUBOS A VACUO;25.05-WEIGAO;WEIGAO;06/05/2026;(vazio);15/04/2026;(vazio);3;1;5º;#REF!;#REF!;39800;0;#REF!;#REF!;#REF!;#REF!
EMBARCADO;80082;AGULHA HIP 25X8 C/100 LABOR;30.000,00;CRÍTICO;AGULHAS HIPODERMICAS;25.05-WEIGAO;WEIGAO;06/05/2026;(vazio);15/04/2026;(vazio);3;1;5º;#REF!;#REF!;5846;0;#REF!;#REF!;#REF!;#REF!
